(1, 4) 
(2, 5) 
(3, 6) 
(4, 7) 
(5, 8) 
(6, 9) 
(7, 10) 
(8, 11) 
(9, 12) 
(10, 13) 
(11, 14) 
(12, 15) 
(13, 16) 
(14, 17) 
(15, 18) 
(16, 19) 
(17, 20) 
(18, 21) 
(19, 22) 
(20, 23) 
(21, 24) 
(22, 25) 
(23, 26) 
(24, 27) 
(25, 28) 
(26, 29) 
(27, 30) 
(28, 31) 
(29, 32) 
(30, 33) 
(31, 34) 
(32, 35) 
(33, 36) 
(34, 37) 
(35, 38) 
(36, 39) 
(37, 40) 
(38, 41) 
(39, 42) 
(40, 43) 
(41, 44) 
(42, 45) 
(43, 46) 
(44, 47) 
(45, 48) 
(48, 49) 
(50, 50) 
(51, 51) 
(53, 52) 
(54, 53) 
(55, 54) 
(56, 55) 
(57, 56) 
(58, 57) 
(59, 58) 
(60, 59) 
(61, 60) 
(62, 61) 
(63, 62) 
(64, 63) 
(67, 64) 
(68, 65) 
(69, 66) 
(72, 67) 
(74, 68) 
(75, 69) 
(76, 70) 
(77, 71) 
(78, 72) 
(79, 73) 
(80, 74) 
(81, 75) 
(82, 76) 
(83, 77) 
(84, 78) 
(85, 79) 
(86, 80) 
(89, 81) 
(90, 82) 
(91, 83) 
(92, 84) 
(96, 85) 
(98, 86) 
(99, 87) 
(101, 88) 
(102, 89) 
(103, 90) 
(104, 91) 
(105, 92) 
(106, 93) 
(107, 94) 
(110, 95) 
(111, 96) 
(112, 97) 
(113, 98) 
(114, 99) 
(115, 100) 
(117, 101) 
(119, 102) 
(120, 103) 
(121, 104) 
(122, 105) 
(126, 106) 
(127, 107) 
(131, 108) 
(133, 109) 
(134, 110) 
(136, 111) 
(141, 112) 
(142, 113) 
(143, 114) 
(145, 115) 
(147, 116) 
(150, 117) 
(154, 118) 
(157, 119) 
(161, 120) 
(163, 121) 
(164, 122) 
(166, 123) 
(200, 124) 
(201, 125) 
(202, 126) 
(203, 127) 
(221, 128) 
(222, 129) 
(223, 130) 
(233, 131) 
(234, 132) 
(235, 133) 
(236, 134) 
(238, 135) 
(240, 136) 
(245, 137) 
(246, 138) 
(254, 139) 
(266, 140) 
(267, 141) 
(268, 142) 
(350, 143) 
(360, 144) 
(412, 145) 
(420, 146) 
(421, 147) 
(427, 148) 
(429, 149) 
(432, 150) 
(497, 151) 
(498, 152) 
(516, 153) 
(517, 154) 
(518, 155) 
(523, 156) 
(526, 157) 
(555, 158) 
(711, 159) 
(777, 160) 
(875, 161) 
(876, 162) 
(887, 163) 
(888, 164) 
(895, 165) 
(897, 166) 
(901, 167) 
(902, 168) 
(910, 169) 
(950, 170) 
