teams,winner
"Pantheon,Rammus,Talon,Taliyah,Shaco,Neeko,Viego,Cassiopeia,Kindred,Janna",1
"Neeko,Nidalee,Akshan,Kindred,Shaco,KSante,Udyr,TwistedFate,Lucian,Nautilus",0
"Rumble,Ivern,Katarina,Draven,Blitzcrank,Warwick,Nidalee,Tristana,Kaisa,Leona",0
"TwistedFate,Viego,Katarina,Draven,Camille,Jax,Nocturne,Ezreal,Hwei,Pyke",0
"Jayce,Viego,Diana,Smolder,Nautilus,Renekton,Brand,Akshan,Jinx,Rell",1
"MonkeyKing,Graves,Hwei,Nilah,Camille,Jayce,Volibear,Fizz,Smolder,Senna",1
"AurelionSol,Graves,Bard,Jinx,Janna,Warwick,Rengar,Lissandra,Draven,Thresh",1
"Vayne,Nidalee,Qiyana,Smolder,Thresh,Fiora,XinZhao,Diana,Jinx,Blitzcrank",0
"Trundle,Rengar,Vladimir,Senna,Leona,Jayce,Zac,Katarina,Janna,Varus",0
"Fiora,LeeSin,Katarina,Kaisa,Braum,Shaco,Elise,Ashe,Varus,Camille",0
"Gragas,Khazix,TwistedFate,Hwei,Camille,Urgot,Jax,Katarina,Jhin,Shaco",0
"Gragas,Nidalee,TwistedFate,Xayah,Shaco,Renekton,Evelynn,Nilah,Zeri,Soraka",1
"Udyr,Volibear,Lux,Lucian,Xerath,Alistar,Kindred,Katarina,Draven,Malphite",0
"Fiora,Volibear,Katarina,MissFortune,Senna,Illaoi,Nocturne,Galio,Nilah,Sona",0
"KSante,Nidalee,Zed,Smolder,Milio,Gnar,XinZhao,Orianna,TwistedFate,Thresh",1
"Garen,Illaoi,Yasuo,Diana,Twitch,MonkeyKing,Nasus,Sona,Khazix,Zed",0
"Smolder,Volibear,Yuumi,Lux,Nasus,Zyra,Samira,Twitch,LeeSin,Janna",0
"Irelia,Vi,Rumble,Ezreal,Karma,LeeSin,Brand,Zed,Hwei,Janna",1
"Zed,Nautilus,Kaisa,Sejuani,Rumble,Smolder,Seraphine,Karma,Lissandra,Viego",1
"Yone,Taric,Azir,Nilah,Rell,Garen,Graves,TwistedFate,Smolder,Rakan",0
"Garen,Shaco,Hwei,Yasuo,Rakan,Volibear,Taliyah,Katarina,Senna,Nautilus",1
"Ryze,Kayn,Jayce,Akshan,Nautilus,TwistedFate,Taliyah,Vi,Smolder,Zyra",0
